chord_ID,chord_HTML
b66,&#9837;VI<sup>6</sup>
D76,&#9837;VII<sup>6</sup>
M2,ii
b36,&#9837;III<sup>6</sup>
565/4,V<sup>6</sup><sub>5</sub>/IV
Y77,&#9837;vii<sup>7</sup>
Y6,&#9837;VI
L76,vii<sup>6</sup>
b442,iv<sup>4</sup><sub>2</sub>
D565,v<sup>6</sup><sub>5</sub>
b164,i<sup>6</sup><sub>4</sub>
L57,V#7
543/5,V<sup>4</sup><sub>3</sub>/V
7/7,vii&deg;/vii
L3,iii
76/3,vii&deg;<sup>6</sup>/iii
D2,ii
47/2,IV<sup>7</sup>/ii
4/2,IV/ii
L742,vii<sup>4</sup><sub>2</sub>
M27,ii<sup>7</sup>
4/7,IV/vii
L56,V<sup>6</sup>
M542,v<sup>4</sup><sub>2</sub>
M565,v<sup>6</sup><sub>5</sub>
M443,IV<sup>4</sup><sub>3</sub>
L542,V<sup>4</sup><sub>2</sub>
77/6,vii<sup>??</sup><sup>7</sup>/vi
7/4,vii&deg;/IV
M6,vi
M47,IV<sup>7</sup>
M164,I<sup>6</sup><sub>4</sub>
M564,v<sup>6</sup><sub>4</sub>
56/4,V<sup>6</sup>/IV
D164,i<sup>6</sup><sub>4</sub>
465/4,IV<sup>6</sup><sub>5</sub>/IV
L743,vii<sup>4</sup><sub>3</sub>
L243,II<sup>4</sup><sub>3</sub>
464/3,IV<sup>6</sup><sub>4</sub>/iii
D443,IV<sup>4</sup><sub>3</sub>
Y564,v&deg;<sup>6</sup><sub>4</sub>
76/4,vii&deg;<sup>6</sup>/IV
b142,i<sup>4</sup><sub>2</sub>
D165,i<sup>6</sup><sub>5</sub>
M46,IV<sup>6</sup>
D57,v<sup>7</sup>
C77,&#9837;vii<sup>7</sup>
L37,iii<sup>7</sup>
47/6,IV<sup>7</sup>/vi
Y47,iv<sup>7</sup>
Y67,&#9837;VI<sup>7</sup>
b443,iv<sup>4</sup><sub>3</sub>
77/2,vii<sup>??</sup><sup>7</sup>/ii
D56,v<sup>6</sup>
