D76,&#9837;VII<sup>6</sup>
D77,&#9837;VII<sup>7</sup>
L1,I
L17,I<sup>7</sup>
L242,II<sup>4</sup><sub>2</sub>
L243,II<sup>4</sup><sub>3</sub>
L26,II<sup>6</sup>
L264,II<sup>6</sup><sub>4</sub>
L265,II<sup>6</sup><sub>5</sub>
L27,II<sup>7</sup>
L3,iii
L364,iii<sup>6</sup><sub>4</sub>
L37,iii<sup>7</sup>
L4,&#9839;iv&deg;
L46,&#9839;iv&deg;<sup>6</sup>
L5,V
L542,V<sup>4</sup><sub>2</sub>
L56,V<sup>6</sup>
L564,V<sup>6</sup><sub>4</sub>
L565,V<sup>6</sup><sub>5</sub>
L57,V#7
L6,vi
L642,vi<sup>4</sup><sub>2</sub>
L665,vi<sup>6</sup><sub>5</sub>
L7,vii
L742,vii<sup>4</sup><sub>2</sub>
L743,vii<sup>4</sup><sub>3</sub>
L76,vii<sup>6</sup>
L764,vii<sup>6</sup><sub>4</sub>
L765,vii<sup>6</sup><sub>5</sub>
L77,vii<sup>7</sup>
M1,I
M142,I<sup>4</sup><sub>2</sub>
M143,I<sup>4</sup><sub>3</sub>
M164,I<sup>6</sup><sub>4</sub>
M165,I<sup>6</sup><sub>5</sub>
M17,Ib7
M2,ii
M242,ii<sup>4</sup><sub>2</sub>
M27,ii<sup>7</sup>
M3,iii&deg;
M36,iii&deg;<sup>6</sup>
M37,iii<sup>??</sup><sup>7</sup>
M4,IV
M443,IV<sup>4</sup><sub>3</sub>
M46,IV<sup>6</sup>
M464,IV<sup>6</sup><sub>4</sub>
M47,IV<sup>7</sup>
M5,v
M542,v<sup>4</sup><sub>2</sub>
M56,v<sup>6</sup>
M564,v<sup>6</sup><sub>4</sub>
M565,v<sup>6</sup><sub>5</sub>
M57,v<sup>7</sup>
M6,vi
M642,vi<sup>4</sup><sub>2</sub>
M66,vi<sup>6</sup>
M67,vi<sup>7</sup>
M76,&#9837;VII<sup>6</sup>
M77,&#9837;VII<sup>7</sup>
Y1,i
Y16,i<sup>6</sup>
Y2,&#9837;II
Y26,&#9837;II<sup>6</sup>
Y27,&#9837;II<sup>7</sup>
Y3,&#9837;III
Y37,&#9837;IIIb7
Y4,iv
Y47,iv<sup>7</sup>
Y5,v&deg;
Y56,v&deg;<sup>6</sup>
Y564,v&deg;<sup>6</sup><sub>4</sub>
Y57,v<sup>??</sup><sup>7</sup>
Y6,&#9837;VI
Y66,&#9837;VI<sup>6</sup>
Y67,&#9837;VI<sup>7</sup>
Y7,&#9837;vii
Y76,&#9837;vii<sup>6</sup>
Y77,&#9837;vii<sup>7</sup>
b1,i
b142,i<sup>4</sup><sub>2</sub>
b16,i<sup>6</sup>
b164,i<sup>6</sup><sub>4</sub>
b165,i<sup>6</sup><sub>5</sub>
b17,i<sup>7</sup>
b2,ii&deg;
b26,ii&deg;<sup>6</sup>
b27,ii<sup>??</sup><sup>7</sup>
b3,♭III
b36,&#9837;III<sup>6</sup>
b37,&#9837;III<sup>7</sup>
b4,iv
b442,iv<sup>4</sup><sub>2</sub>
b443,iv<sup>4</sup><sub>3</sub>
b46,iv<sup>6</sup>
b464,iv<sup>6</sup><sub>4</sub>
b465,iv<sup>6</sup><sub>5</sub>
b47,iv<sup>7</sup>
b5,v
b542,v<sup>4</sup><sub>2</sub>
b543,v<sup>4</sup><sub>3</sub>
b56,v<sup>6</sup>
b564,v<sup>6</sup><sub>4</sub>
b565,v<sup>6</sup><sub>5</sub>
b57,v<sup>7</sup>
b6,♭VI
b66,&#9837;VI<sup>6</sup>
b67,&#9837;VI<sup>7</sup>
b7,♭VII
b76,&#9837;VII<sup>6</sup>
b77,&#9837;VIIb7
