id html probability child_path
2 ii 0.171 47,3,2
67 vi<sup>7</sup> 0.08 47,3,67
27 ii<sup>7</sup> 0.067 47,3,27
5 V 0.052 47,3,5
1 I 0.031 47,3,1
342 iii<sup>4</sup><sub>2</sub> 0.028 47,3,342
37 iii<sup>7</sup> 0.012 47,3,37
4/3 IV/iii 0.012 47,3,4/3
365 iii<sup>6</sup><sub>5</sub> 0.012 47,3,365
57/3 V<sup>7</sup>/iii 0.006 47,3,57/3
5 V 0.216 47,67,5
47 IV<sup>7</sup> 0.154 47,67,47
27 ii<sup>7</sup> 0.147 47,67,27
164 I<sup>6</sup><sub>4</sub> 0.072 47,67,164
37 iii<sup>7</sup> 0.039 47,67,37
6 vi 0.036 47,67,6
564 V<sup>6</sup><sub>4</sub> 0.033 47,67,564
17 I<sup>7</sup> 0.033 47,67,17
66 vi<sup>6</sup> 0.026 47,67,66
665 vi<sup>6</sup><sub>5</sub> 0.023 47,67,665
D77 &#9837;VII<sup>7</sup> 0.023 47,67,D77
57 V<sup>7</sup> 0.02 47,67,57
47/4 IV<sup>7</sup>/IV 0.016 47,67,47/4
56 V<sup>6</sup> 0.016 47,67,56
365 iii<sup>6</sup><sub>5</sub> 0.013 47,67,365
16 I<sup>6</sup> 0.013 47,67,16
2 ii 0.013 47,67,2
143 I<sup>4</sup><sub>3</sub> 0.013 47,67,143
57/4 V<sup>7</sup>/IV 0.013 47,67,57/4
642 vi<sup>4</sup><sub>2</sub> 0.013 47,67,642
L37 iii<sup>7</sup> 0.013 47,67,L37
57/6 V<sup>7</sup>/vi 0.013 47,67,57/6
L27 II<sup>7</sup> 0.007 47,67,L27
4 IV 0.007 47,67,4
L57 V#7 0.007 47,67,L57
6 vi 0.292 47,365,6
37 iii<sup>7</sup> 0.17 47,365,37
47 IV<sup>7</sup> 0.123 47,365,47
67 vi<sup>7</sup> 0.083 47,365,67
27 ii<sup>7</sup> 0.065 47,365,27
164 I<sup>6</sup><sub>4</sub> 0.036 47,365,164
2 ii 0.029 47,365,2
465 IV<sup>6</sup><sub>5</sub> 0.029 47,365,465
5/6 V/vi 0.022 47,365,5/6
M77 &#9837;VII<sup>7</sup> 0.018 47,365,M77
5/2 V/ii 0.014 47,365,5/2
46 IV<sup>6</sup> 0.014 47,365,46
1 I 0.014 47,365,1
56/6 V<sup>6</sup>/vi 0.014 47,365,56/6
3 iii 0.014 47,365,3
5 V 0.011 47,365,5
265 ii<sup>6</sup><sub>5</sub> 0.007 47,365,265
47 IV<sup>7</sup> 0.253 47,265,47
4 IV 0.132 47,265,4
1 I 0.099 47,265,1
37 iii<sup>7</sup> 0.066 47,265,37
6 vi 0.051 47,265,6
365 iii<sup>6</sup><sub>5</sub> 0.048 47,265,365
3 iii 0.04 47,265,3
27 ii<sup>7</sup> 0.029 47,265,27
57 V<sup>7</sup> 0.029 47,265,57
5 V 0.026 47,265,5
26 ii<sup>6</sup> 0.026 47,265,26
542 V<sup>4</sup><sub>2</sub> 0.015 47,265,542
M57 v<sup>7</sup> 0.015 47,265,M57
5/6 V/vi 0.015 47,265,5/6
16 I<sup>6</sup> 0.015 47,265,16
164 I<sup>6</sup><sub>4</sub> 0.015 47,265,164
165 I<sup>6</sup><sub>5</sub> 0.015 47,265,165
D77 &#9837;VII<sup>7</sup> 0.015 47,265,D77
6 vi 0.23 47,2,6
3 iii 0.184 47,2,3
5 V 0.133 47,2,5
5/6 V/vi 0.094 47,2,5/6
47 IV<sup>7</sup> 0.055 47,2,47
66 vi<sup>6</sup> 0.047 47,2,66
365 iii<sup>6</sup><sub>5</sub> 0.031 47,2,365
16 I<sup>6</sup> 0.031 47,2,16
27 ii<sup>7</sup> 0.031 47,2,27
1 I 0.031 47,2,1
47/4 IV<sup>7</sup>/IV 0.02 47,2,47/4
67 vi<sup>7</sup> 0.016 47,2,67
564 V<sup>6</sup><sub>4</sub> 0.016 47,2,564
664 vi<sup>6</sup><sub>4</sub> 0.016 47,2,664
665 vi<sup>6</sup><sub>5</sub> 0.012 47,2,665
4 IV 0.012 47,2,4
57 V<sup>7</sup> 0.008 47,2,57
37 iii<sup>7</sup> 0.008 47,2,37
b6 &#9837;VI 0.008 47,2,b6
67 vi<sup>7</sup> 0.451 47,57/6,67
6 vi 0.209 47,57/6,6
27 ii<sup>7</sup> 0.051 47,57/6,27
57/2 V<sup>7</sup>/ii 0.037 47,57/6,57/2
47 IV<sup>7</sup> 0.037 47,57/6,47
543/6 V<sup>4</sup><sub>3</sub>/vi 0.028 47,57/6,543/6
5 V 0.023 47,57/6,5
565/2 V<sup>6</sup><sub>5</sub>/ii 0.019 47,57/6,565/2
56/3 V<sup>6</sup>/iii 0.019 47,57/6,56/3
2 ii 0.019 47,57/6,2
5/6 V/vi 0.019 47,57/6,5/6
D47 IVb7 0.009 47,57/6,D47
37 iii<sup>7</sup> 0.005 47,57/6,37
D16 i<sup>6</sup> 0.005 47,57/6,D16
1 I 0.005 47,57/6,1
67 vi<sup>7</sup> 0.213 47,57,67
1 I 0.213 47,57,1
37 iii<sup>7</sup> 0.126 47,57,37
6 vi 0.072 47,57,6
5 V 0.068 47,57,5
47 IV<sup>7</sup> 0.068 47,57,47
17 I<sup>7</sup> 0.043 47,57,17
4 IV 0.029 47,57,4
b7 &#9837;VII 0.029 47,57,b7
27 ii<sup>7</sup> 0.029 47,57,27
5/2 V/ii 0.019 47,57,5/2
7/6 vii&deg;/vi 0.019 47,57,7/6
3 iii 0.014 47,57,3
47 IV<sup>7</sup> 0.211 47,164,47
37 iii<sup>7</sup> 0.117 47,164,37
67 vi<sup>7</sup> 0.117 47,164,67
16 I<sup>6</sup> 0.094 47,164,16
1 I 0.07 47,164,1
5 V 0.064 47,164,5
2 ii 0.047 47,164,2
46 IV<sup>6</sup> 0.047 47,164,46
6 vi 0.035 47,164,6
66 vi<sup>6</sup> 0.035 47,164,66
142 I<sup>4</sup><sub>2</sub> 0.023 47,164,142
57 V<sup>7</sup> 0.023 47,164,57
4 IV 0.023 47,164,4
565/6 V<sup>6</sup><sub>5</sub>/vi 0.023 47,164,565/6
47 IV<sup>7</sup> 0.252 47,542,47
37 iii<sup>7</sup> 0.181 47,542,37
16 I<sup>6</sup> 0.155 47,542,16
5 V 0.148 47,542,5
6 vi 0.052 47,542,6
M37 iii<sup>??</sup><sup>7</sup> 0.052 47,542,M37
4 IV 0.039 47,542,4
17 I<sup>7</sup> 0.026 47,542,17
67 vi<sup>7</sup> 0.026 47,542,67
36 iii<sup>6</sup> 0.026 47,542,36
27 ii<sup>7</sup> 0.019 47,542,27
27 ii<sup>7</sup> 0.27 47,16,27
6 vi 0.162 47,16,6
47 IV<sup>7</sup> 0.135 47,16,47
164 I<sup>6</sup><sub>4</sub> 0.101 47,16,164
67 vi<sup>7</sup> 0.068 47,16,67
2 ii 0.047 47,16,2
37 iii<sup>7</sup> 0.034 47,16,37
1 I 0.034 47,16,1
57/4 V<sup>7</sup>/IV 0.027 47,16,57/4
5/6 V/vi 0.027 47,16,5/6
56/6 V<sup>6</sup>/vi 0.027 47,16,56/6
4 IV 0.02 47,16,4
5 V 0.007 47,16,5
6 vi 0.347 47,664,6
2 ii 0.147 47,664,2
642 vi<sup>4</sup><sub>2</sub> 0.116 47,664,642
57/6 V<sup>7</sup>/vi 0.084 47,664,57/6
1 I 0.084 47,664,1
66 vi<sup>6</sup> 0.053 47,664,66
77 vii<sup>??</sup><sup>7</sup> 0.042 47,664,77
5/2 V/ii 0.032 47,664,5/2
27 ii<sup>7</sup> 0.032 47,664,27
47 IV<sup>7</sup> 0.032 47,664,47
C16 i&deg;<sup>6</sup> 0.032 47,664,C16
47 IV<sup>7</sup> 0.221 47,36,47
6 vi 0.191 47,36,6
5/6 V/vi 0.176 47,36,5/6
67 vi<sup>7</sup> 0.147 47,36,67
5/2 V/ii 0.088 47,36,5/2
57 V<sup>7</sup> 0.059 47,36,57
564 V<sup>6</sup><sub>4</sub> 0.059 47,36,564
17 I<sup>7</sup> 0.305 47,5/6,17
6 vi 0.203 47,5/6,6
4 IV 0.136 47,5/6,4
57/6 V<sup>7</sup>/vi 0.102 47,5/6,57/6
67 vi<sup>7</sup> 0.068 47,5/6,67
27 ii<sup>7</sup> 0.068 47,5/6,27
7/3 vii&deg;/iii 0.068 47,5/6,7/3
47 IV<sup>7</sup> 0.051 47,5/6,47
5 V 0.394 47,26,5
47 IV<sup>7</sup> 0.182 47,26,47
4 IV 0.167 47,26,4
1 I 0.121 47,26,1
164 I<sup>6</sup><sub>4</sub> 0.121 47,26,164
36 iii<sup>6</sup> 0.015 47,26,36
b37 &#9837;III<sup>7</sup> 0.204 47,b47,b37
37 iii<sup>7</sup> 0.148 47,b47,37
16 I<sup>6</sup> 0.148 47,b47,16
47/4 IV<sup>7</sup>/IV 0.111 47,b47,47/4
57/6 V<sup>7</sup>/vi 0.074 47,b47,57/6
M565 v<sup>6</sup><sub>5</sub> 0.074 47,b47,M565
57 V<sup>7</sup> 0.019 47,b47,57
57/6 V<sup>7</sup>/vi 0.707 47,77,57/6
5/6 V/vi 0.171 47,77,5/6
4 IV 0.098 47,77,4
37 iii<sup>7</sup> 0.024 47,77,37
4 IV 0.216 67,5,4
27 ii<sup>7</sup> 0.158 67,5,27
1 I 0.147 67,5,1
47 IV<sup>7</sup> 0.092 67,5,47
2 ii 0.055 67,5,2
37 iii<sup>7</sup> 0.034 67,5,37
3 iii 0.018 67,5,3
16 I<sup>6</sup> 0.016 67,5,16
67 vi<sup>7</sup> 0.014 67,5,67
46 IV<sup>6</sup> 0.011 67,5,46
Y67 &#9837;VI<sup>7</sup> 0.01 67,5,Y67
56 V<sup>6</sup> 0.009 67,5,56
164 I<sup>6</sup><sub>4</sub> 0.009 67,5,164
6 vi 0.009 67,5,6
5/5 V/V 0.006 67,5,5/5
464 IV<sup>6</sup><sub>4</sub> 0.005 67,5,464
36 iii<sup>6</sup> 0.005 67,5,36
265 ii<sup>6</sup><sub>5</sub> 0.005 67,5,265
L4 &#9839;iv&deg; 0.005 67,5,L4
b7 &#9837;VII 0.005 67,5,b7
1 I 0.309 67,4,1
5 V 0.305 67,4,5
67 vi<sup>7</sup> 0.086 67,4,67
6 vi 0.027 67,4,6
642 vi<sup>4</sup><sub>2</sub> 0.025 67,4,642
27 ii<sup>7</sup> 0.025 67,4,27
3 iii 0.024 67,4,3
2 ii 0.02 67,4,2
57/6 V<sup>7</sup>/vi 0.02 67,4,57/6
16 I<sup>6</sup> 0.019 67,4,16
57 V<sup>7</sup> 0.017 67,4,57
47 IV<sup>7</sup> 0.014 67,4,47
664 vi<sup>6</sup><sub>4</sub> 0.011 67,4,664
b4 iv 0.007 67,4,b4
7/6 vii&deg;/vi 0.007 67,4,7/6
17 I<sup>7</sup> 0.006 67,4,17
b77 &#9837;VIIb7 0.005 67,4,b77
542 V<sup>4</sup><sub>2</sub> 0.005 67,4,542
164 I<sup>6</sup><sub>4</sub> 0.005 67,4,164
L57 V#7 0.005 67,4,L57
b465 iv<sup>6</sup><sub>5</sub> 0.005 67,4,b465
37 iii<sup>7</sup> 0.005 67,4,37
56 V<sup>6</sup> 0.005 67,4,56
67 vi<sup>7</sup> 0.137 67,27,67
37 iii<sup>7</sup> 0.136 67,27,37
57 V<sup>7</sup> 0.132 67,27,57
5 V 0.12 67,27,5
47 IV<sup>7</sup> 0.088 67,27,47
1 I 0.048 67,27,1
4 IV 0.044 67,27,4
57/6 V<sup>7</sup>/vi 0.04 67,27,57/6
77 vii<sup>??</sup><sup>7</sup> 0.026 67,27,77
164 I<sup>6</sup><sub>4</sub> 0.019 67,27,164
16 I<sup>6</sup> 0.017 67,27,16
264 ii<sup>6</sup><sub>4</sub> 0.014 67,27,264
642 vi<sup>4</sup><sub>2</sub> 0.013 67,27,642
b47 iv<sup>7</sup> 0.011 67,27,b47
56 V<sup>6</sup> 0.01 67,27,56
2 ii 0.01 67,27,2
6 vi 0.008 67,27,6
7/3 vii&deg;/iii 0.007 67,27,7/3
b7 &#9837;VII 0.007 67,27,b7
365 iii<sup>6</sup><sub>5</sub> 0.006 67,27,365
b4 iv 0.005 67,27,b4
M57 v<sup>7</sup> 0.005 67,27,M57
242 ii<sup>4</sup><sub>2</sub> 0.005 67,27,242
343 iii<sup>4</sup><sub>3</sub> 0.005 67,27,343
565/6 V<sup>6</sup><sub>5</sub>/vi 0.005 67,27,565/6
L77 vii<sup>7</sup> 0.005 67,27,L77
564 V<sup>6</sup><sub>4</sub> 0.005 67,27,564
165 I<sup>6</sup><sub>5</sub> 0.005 67,27,165
243 ii<sup>4</sup><sub>3</sub> 0.005 67,27,243
3 iii 0.005 67,27,3
5/6 V/vi 0.005 67,27,5/6
47 IV<sup>7</sup> 0.224 67,37,47
67 vi<sup>7</sup> 0.198 67,37,67
27 ii<sup>7</sup> 0.104 67,37,27
4 IV 0.09 67,37,4
M57 v<sup>7</sup> 0.066 67,37,M57
164 I<sup>6</sup><sub>4</sub> 0.032 67,37,164
5 V 0.032 67,37,5
b57 v<sup>7</sup> 0.028 67,37,b57
1 I 0.022 67,37,1
b37 &#9837;III<sup>7</sup> 0.016 67,37,b37
443 IV<sup>4</sup><sub>3</sub> 0.014 67,37,443
56 V<sup>6</sup> 0.008 67,37,56
17 I<sup>7</sup> 0.008 67,37,17
b2 ii&deg; 0.008 67,37,b2
67 vi<sup>7</sup> 0.421 67,6,67
5 V 0.098 67,6,5
46 IV<sup>6</sup> 0.074 67,6,46
4 IV 0.067 67,6,4
27 ii<sup>7</sup> 0.039 67,6,27
47 IV<sup>7</sup> 0.037 67,6,47
1 I 0.037 67,6,1
2 ii 0.033 67,6,2
642 vi<sup>4</sup><sub>2</sub> 0.02 67,6,642
36 iii<sup>6</sup> 0.02 67,6,36
D3 &#9837;III 0.016 67,6,D3
57/5 V<sup>7</sup>/V 0.016 67,6,57/5
665 vi<sup>6</sup><sub>5</sub> 0.016 67,6,665
17 I<sup>7</sup> 0.014 67,6,17
3 iii 0.01 67,6,3
66 vi<sup>6</sup> 0.008 67,6,66
L77 vii<sup>7</sup> 0.008 67,6,L77
464 IV<sup>6</sup><sub>4</sub> 0.008 67,6,464
26 ii<sup>6</sup> 0.008 67,6,26
76 vii&deg;<sup>6</sup> 0.006 67,6,76
542/6 V<sup>4</sup><sub>2</sub>/vi 0.006 67,6,542/6
L7 vii 0.006 67,6,L7
37 iii<sup>7</sup> 0.228 67,47,37
57 V<sup>7</sup> 0.112 67,47,57
27 ii<sup>7</sup> 0.099 67,47,27
5 V 0.089 67,47,5
67 vi<sup>7</sup> 0.064 67,47,67
1 I 0.046 67,47,1
542 V<sup>4</sup><sub>2</sub> 0.041 67,47,542
3 iii 0.033 67,47,3
6 vi 0.031 67,47,6
17 I<sup>7</sup> 0.029 67,47,17
365 iii<sup>6</sup><sub>5</sub> 0.029 67,47,365
265 ii<sup>6</sup><sub>5</sub> 0.025 67,47,265
57/6 V<sup>7</sup>/vi 0.023 67,47,57/6
4 IV 0.021 67,47,4
564 V<sup>6</sup><sub>4</sub> 0.017 67,47,564
5/5 V/V 0.008 67,47,5/5
7/5 vii&deg;/V 0.008 67,47,7/5
665 vi<sup>6</sup><sub>5</sub> 0.008 67,47,665
2 ii 0.006 67,47,2
5 V 0.223 67,1,5
4 IV 0.22 67,1,4
27 ii<sup>7</sup> 0.098 67,1,27
67 vi<sup>7</sup> 0.086 67,1,67
47 IV<sup>7</sup> 0.048 67,1,47
2 ii 0.043 67,1,2
3 iii 0.041 67,1,3
5/5 V/V 0.036 67,1,5/5
37 iii<sup>7</sup> 0.02 67,1,37
56 V<sup>6</sup> 0.018 67,1,56
36 iii<sup>6</sup> 0.018 67,1,36
17 I<sup>7</sup> 0.018 67,1,17
57 V<sup>7</sup> 0.014 67,1,57
364 iii<sup>6</sup><sub>4</sub> 0.014 67,1,364
164 I<sup>6</sup><sub>4</sub> 0.009 67,1,164
C164 i&deg;<sup>6</sup><sub>4</sub> 0.009 67,1,C164
564 V<sup>6</sup><sub>4</sub> 0.009 67,1,564
L27 II<sup>7</sup> 0.009 67,1,L27
57/5 V<sup>7</sup>/V 0.009 67,1,57/5
665 vi<sup>6</sup><sub>5</sub> 0.005 67,1,665
47 IV<sup>7</sup> 0.208 67,164,47
4 IV 0.146 67,164,4
265 ii<sup>6</sup><sub>5</sub> 0.088 67,164,265
27 ii<sup>7</sup> 0.075 67,164,27
664 vi<sup>6</sup><sub>4</sub> 0.05 67,164,664
5 V 0.05 67,164,5
1 I 0.05 67,164,1
67 vi<sup>7</sup> 0.042 67,164,67
b17 i<sup>7</sup> 0.033 67,164,b17
L265 II<sup>6</sup><sub>5</sub> 0.033 67,164,L265
b57 v<sup>7</sup> 0.017 67,164,b57
b47 iv<sup>7</sup> 0.017 67,164,b47
5/5 V/V 0.017 67,164,5/5
6 vi 0.017 67,164,6
66 vi<sup>6</sup> 0.017 67,164,66
665 vi<sup>6</sup><sub>5</sub> 0.017 67,164,665
36 iii<sup>6</sup> 0.017 67,164,36
542 V<sup>4</sup><sub>2</sub> 0.017 67,164,542
7/5 vii&deg;/V 0.017 67,164,7/5
56/5 V<sup>6</sup>/V 0.013 67,164,56/5
57 V<sup>7</sup> 0.008 67,164,57
5 V 0.126 67,2,5
6 vi 0.121 67,2,6
4 IV 0.076 67,2,4
16 I<sup>6</sup> 0.072 67,2,16
57 V<sup>7</sup> 0.072 67,2,57
47 IV<sup>7</sup> 0.067 67,2,47
1 I 0.054 67,2,1
37 iii<sup>7</sup> 0.045 67,2,37
165 I<sup>6</sup><sub>5</sub> 0.036 67,2,165
3 iii 0.036 67,2,3
67 vi<sup>7</sup> 0.036 67,2,67
27 ii<sup>7</sup> 0.036 67,2,27
D47 IVb7 0.018 67,2,D47
543 V<sup>4</sup><sub>3</sub> 0.018 67,2,543
17 I<sup>7</sup> 0.018 67,2,17
464 IV<sup>6</sup><sub>4</sub> 0.018 67,2,464
M76 &#9837;VII<sup>6</sup> 0.018 67,2,M76
L6 vi 0.018 67,2,L6
564 V<sup>6</sup><sub>4</sub> 0.018 67,2,564
57/6 V<sup>7</sup>/vi 0.013 67,2,57/6
57/3 V<sup>7</sup>/iii 0.009 67,2,57/3
67 vi<sup>7</sup> 0.168 67,3,67
4 IV 0.153 67,3,4
5 V 0.099 67,3,5
1 I 0.092 67,3,1
6 vi 0.069 67,3,6
27 ii<sup>7</sup> 0.061 67,3,27
b57 v<sup>7</sup> 0.061 67,3,b57
47 IV<sup>7</sup> 0.031 67,3,47
b7 &#9837;VII 0.031 67,3,b7
5/5 V/V 0.015 67,3,5/5
2 ii 0.015 67,3,2
57 V<sup>7</sup> 0.008 67,3,57
4 IV 0.309 67,642,4
67 vi<sup>7</sup> 0.184 67,642,67
47 IV<sup>7</sup> 0.162 67,642,47
664 vi<sup>6</sup><sub>4</sub> 0.059 67,642,664
L265 II<sup>6</sup><sub>5</sub> 0.059 67,642,L265
37 iii<sup>7</sup> 0.051 67,642,37
27 ii<sup>7</sup> 0.044 67,642,27
57 V<sup>7</sup> 0.037 67,642,57
265 ii<sup>6</sup><sub>5</sub> 0.037 67,642,265
6 vi 0.029 67,642,6
27 ii<sup>7</sup> 0.195 67,17,27
47 IV<sup>7</sup> 0.136 67,17,47
37 iii<sup>7</sup> 0.119 67,17,37
5/5 V/V 0.11 67,17,5/5
67 vi<sup>7</sup> 0.085 67,17,67
564 V<sup>6</sup><sub>4</sub> 0.068 67,17,564
4 IV 0.068 67,17,4
143 I<sup>4</sup><sub>3</sub> 0.042 67,17,143
5 V 0.034 67,17,5
L77 vii<sup>7</sup> 0.025 67,17,L77
2 ii 0.008 67,17,2
57 V<sup>7</sup> 0.248 67,57/5,57
L57 V#7 0.137 67,57/5,L57
27 ii<sup>7</sup> 0.103 67,57/5,27
164 I<sup>6</sup><sub>4</sub> 0.068 67,57/5,164
5 V 0.068 67,57/5,5
37 iii<sup>7</sup> 0.068 67,57/5,37
47 IV<sup>7</sup> 0.068 67,57/5,47
67 vi<sup>7</sup> 0.06 67,57/5,67
b6 &#9837;VI 0.034 67,57/5,b6
36 iii<sup>6</sup> 0.034 67,57/5,36
b57 v<sup>7</sup> 0.034 67,57/5,b57
543/5 V<sup>4</sup><sub>3</sub>/V 0.034 67,57/5,543/5
b77 &#9837;VIIb7 0.026 67,57/5,b77
1 I 0.726 67,56,1
5 V 0.068 67,56,5
6 vi 0.068 67,56,6
46 IV<sup>6</sup> 0.034 67,56,46
56/2 V<sup>6</sup>/ii 0.034 67,56,56/2
67 vi<sup>7</sup> 0.034 67,56,67
47 IV<sup>7</sup> 0.213 67,16,47
4 IV 0.204 67,16,4
164 I<sup>6</sup><sub>4</sub> 0.185 67,16,164
57/5 V<sup>7</sup>/V 0.074 67,16,57/5
L27 II<sup>7</sup> 0.056 67,16,L27
27 ii<sup>7</sup> 0.056 67,16,27
L265 II<sup>6</sup><sub>5</sub> 0.028 67,16,L265
27 ii<sup>7</sup> 0.204 67,57,27
1 I 0.143 67,57,1
16 I<sup>6</sup> 0.122 67,57,16
67 vi<sup>7</sup> 0.102 67,57,67
17 I<sup>7</sup> 0.082 67,57,17
77/5 vii<sup>??</sup><sup>7</sup>/V 0.051 67,57,77/5
5 V 0.041 67,57,5
47 IV<sup>7</sup> 0.041 67,57,47
D47 IVb7 0.041 67,57,D47
M17 Ib7 0.031 67,57,M17
47 IV<sup>7</sup> 0.348 67,365,47
27 ii<sup>7</sup> 0.157 67,365,27
4 IV 0.09 67,365,4
67 vi<sup>7</sup> 0.09 67,365,67
b57 v<sup>7</sup> 0.09 67,365,b57
5 V 0.045 67,365,5
265 ii<sup>6</sup><sub>5</sub> 0.045 67,365,265
6 vi 0.045 67,365,6
565/5 V<sup>6</sup><sub>5</sub>/V 0.045 67,365,565/5
2 ii 0.034 67,365,2
57 V<sup>7</sup> 0.011 67,365,57
6 vi 0.183 67,5/5,6
5 V 0.134 67,5/5,5
1 I 0.122 67,5/5,1
2 ii 0.122 67,5/5,2
4 IV 0.122 67,5/5,4
27 ii<sup>7</sup> 0.098 67,5/5,27
67 vi<sup>7</sup> 0.085 67,5/5,67
57 V<sup>7</sup> 0.049 67,5/5,57
5/6 V/vi 0.037 67,5/5,5/6
b1 i 0.024 67,5/5,b1
57/4 V<sup>7</sup>/IV 0.024 67,5/5,57/4
57/4 V<sup>7</sup>/IV 0.512 67,b57,57/4
1 I 0.345 67,b57,1
M1 I 0.06 67,b57,M1
2 ii 0.048 67,b57,2
27 ii<sup>7</sup> 0.036 67,b57,27
265 ii<sup>6</sup><sub>5</sub> 0.216 67,665,265
565/2 V<sup>6</sup><sub>5</sub>/ii 0.135 67,665,565/2
D47 IVb7 0.108 67,665,D47
67 vi<sup>7</sup> 0.108 67,665,67
47 IV<sup>7</sup> 0.108 67,665,47
37 iii<sup>7</sup> 0.081 67,665,37
36 iii<sup>6</sup> 0.068 67,665,36
27 ii<sup>7</sup> 0.054 67,665,27
6 vi 0.054 67,665,6
6 vi 0.493 67,46,6
1 I 0.213 67,46,1
67 vi<sup>7</sup> 0.16 67,46,67
4 IV 0.093 67,46,4
L264 II<sup>6</sup><sub>4</sub> 0.04 67,46,L264
1 I 0.385 67,142,1
665 vi<sup>6</sup><sub>5</sub> 0.123 67,142,665
17 I<sup>7</sup> 0.123 67,142,17
27 ii<sup>7</sup> 0.062 67,142,27
67 vi<sup>7</sup> 0.062 67,142,67
4 IV 0.062 67,142,4
143 I<sup>4</sup><sub>3</sub> 0.062 67,142,143
5 V 0.217 67,36,5
4 IV 0.133 67,36,4
47 IV<sup>7</sup> 0.133 67,36,47
565/6 V<sup>6</sup><sub>5</sub>/vi 0.067 67,36,565/6
265 ii<sup>6</sup><sub>5</sub> 0.067 67,36,265
1 I 0.067 67,36,1
342 iii<sup>4</sup><sub>2</sub> 0.067 67,36,342
26 ii<sup>6</sup> 0.05 67,36,26
1 I 0.315 67,M57,1
57/4 V<sup>7</sup>/IV 0.222 67,M57,57/4
47 IV<sup>7</sup> 0.204 67,M57,47
67 vi<sup>7</sup> 0.074 67,M57,67
M17 Ib7 0.037 67,M57,M17
57 V<sup>7</sup> 0.255 67,L27,57
27 ii<sup>7</sup> 0.255 67,L27,27
265 ii<sup>6</sup><sub>5</sub> 0.218 67,L27,265
6 vi 0.073 67,L27,6
47 IV<sup>7</sup> 0.073 67,L27,47
L77 vii<sup>7</sup> 0.073 67,L27,L77
67 vi<sup>7</sup> 0.036 67,L27,67
1 I 0.38 67,265,1
5 V 0.16 67,265,5
b7 &#9837;VII 0.12 67,265,b7
37 iii<sup>7</sup> 0.08 67,265,37
47 IV<sup>7</sup> 0.08 67,265,47
365 iii<sup>6</sup><sub>5</sub> 0.06 67,265,365
1 I 0.32 67,143,1
47 IV<sup>7</sup> 0.32 67,143,47
165 I<sup>6</sup><sub>5</sub> 0.12 67,143,165
265 ii<sup>6</sup><sub>5</sub> 0.08 67,143,265
464 IV<sup>6</sup><sub>4</sub> 0.08 67,143,464
27 ii<sup>7</sup> 0.08 67,143,27
67 vi<sup>7</sup> 0.286 67,57/6,67
M57 v<sup>7</sup> 0.262 67,57/6,M57
443/3 IV<sup>4</sup><sub>3</sub>/iii 0.143 67,57/6,443/3
57/5 V<sup>7</sup>/V 0.095 67,57/6,57/5
5/6 V/vi 0.095 67,57/6,5/6
L27 II<sup>7</sup> 0.024 67,57/6,L27
67 vi<sup>7</sup> 0.366 67,26,67
4 IV 0.171 67,26,4
6 vi 0.146 67,26,6
243 ii<sup>4</sup><sub>3</sub> 0.122 67,26,243
36 iii<sup>6</sup> 0.098 67,26,36
b46 iv<sup>6</sup> 0.049 67,26,b46
5 V 0.319 16,4,5
16 I<sup>6</sup> 0.166 16,4,16
1 I 0.126 16,4,1
6 vi 0.081 16,4,6
164 I<sup>6</sup><sub>4</sub> 0.04 16,4,164
2 ii 0.031 16,4,2
57 V<sup>7</sup> 0.018 16,4,57
67 vi<sup>7</sup> 0.016 16,4,67
46 IV<sup>6</sup> 0.015 16,4,46
3 iii 0.014 16,4,3
27 ii<sup>7</sup> 0.012 16,4,27
56 V<sup>6</sup> 0.011 16,4,56
7/5 vii&deg;/V 0.011 16,4,7/5
664 vi<sup>6</sup><sub>4</sub> 0.008 16,4,664
56/5 V<sup>6</sup>/V 0.008 16,4,56/5
b4 iv 0.008 16,4,b4
464 IV<sup>6</sup><sub>4</sub> 0.006 16,4,464
5/6 V/vi 0.006 16,4,5/6
56/6 V<sup>6</sup>/vi 0.006 16,4,56/6
542 V<sup>4</sup><sub>2</sub> 0.005 16,4,542
4 IV 0.212 16,1,4
16 I<sup>6</sup> 0.195 16,1,16
56 V<sup>6</sup> 0.124 16,1,56
5 V 0.082 16,1,5
2 ii 0.071 16,1,2
564 V<sup>6</sup><sub>4</sub> 0.065 16,1,564
6 vi 0.06 16,1,6
47 IV<sup>7</sup> 0.044 16,1,47
164 I<sup>6</sup><sub>4</sub> 0.041 16,1,164
5/5 V/V 0.03 16,1,5/5
46 IV<sup>6</sup> 0.01 16,1,46
76 vii&deg;<sup>6</sup> 0.005 16,1,76
242 ii<sup>4</sup><sub>2</sub> 0.005 16,1,242
364 iii<sup>6</sup><sub>4</sub> 0.005 16,1,364
D47 IVb7 0.005 16,1,D47
27 ii<sup>7</sup> 0.005 16,1,27
57 V<sup>7</sup> 0.005 16,1,57
L7 vii 0.005 16,1,L7
1 I 0.241 16,2,1
5 V 0.188 16,2,5
16 I<sup>6</sup> 0.168 16,2,16
6 vi 0.063 16,2,6
4 IV 0.061 16,2,4
464 IV<sup>6</sup><sub>4</sub> 0.051 16,2,464
5/6 V/vi 0.028 16,2,5/6
b7 &#9837;VII 0.024 16,2,b7
264 ii<sup>6</sup><sub>4</sub> 0.022 16,2,264
66 vi<sup>6</sup> 0.022 16,2,66
