id html probability child_path
57/6 V<sup>7</sup>/vi 0.021 27,57/6
2 ii 0.018 27,2
5/6 V/vi 0.016 27,5/6
17 I<sup>7</sup> 0.016 27,17
243 ii<sup>4</sup><sub>3</sub> 0.013 27,243
564 V<sup>6</sup><sub>4</sub> 0.011 27,564
66 vi<sup>6</sup> 0.01 27,66
464 IV<sup>6</sup><sub>4</sub> 0.009 27,464
b7 &#9837;VII 0.007 27,b7
56 V<sup>6</sup> 0.007 27,56
265 ii<sup>6</sup><sub>5</sub> 0.006 27,265
665 vi<sup>6</sup><sub>5</sub> 0.006 27,665
543 V<sup>4</sup><sub>3</sub> 0.006 27,543
442 IV<sup>4</sup><sub>2</sub> 0.006 27,442
242 ii<sup>4</sup><sub>2</sub> 0.006 27,242
664 vi<sup>6</sup><sub>4</sub> 0.005 27,664
164 I<sup>6</sup><sub>4</sub> 0.005 27,164
77 vii<sup>??</sup><sup>7</sup> 0.005 27,77
5 V 0.211 47,5
37 iii<sup>7</sup> 0.098 47,37
6 vi 0.073 47,6
1 I 0.068 47,1
27 ii<sup>7</sup> 0.045 47,27
4 IV 0.039 47,4
17 I<sup>7</sup> 0.036 47,17
3 iii 0.035 47,3
67 vi<sup>7</sup> 0.033 47,67
365 iii<sup>6</sup><sub>5</sub> 0.03 47,365
265 ii<sup>6</sup><sub>5</sub> 0.029 47,265
2 ii 0.027 47,2
57/6 V<sup>7</sup>/vi 0.023 47,57/6
57 V<sup>7</sup> 0.023 47,57
164 I<sup>6</sup><sub>4</sub> 0.018 47,164
542 V<sup>4</sup><sub>2</sub> 0.016 47,542
16 I<sup>6</sup> 0.016 47,16
664 vi<sup>6</sup><sub>4</sub> 0.01 47,664
36 iii<sup>6</sup> 0.007 47,36
5/6 V/vi 0.007 47,5/6
26 ii<sup>6</sup> 0.007 47,26
b47 iv<sup>7</sup> 0.006 47,b47
77 vii<sup>??</sup><sup>7</sup> 0.005 47,77
5 V 0.146 67,5
4 IV 0.095 67,4
27 ii<sup>7</sup> 0.094 67,27
37 iii<sup>7</sup> 0.056 67,37
6 vi 0.054 67,6
47 IV<sup>7</sup> 0.054 67,47
1 I 0.049 67,1
164 I<sup>6</sup><sub>4</sub> 0.027 67,164
2 ii 0.025 67,2
3 iii 0.015 67,3
642 vi<sup>4</sup><sub>2</sub> 0.015 67,642
17 I<sup>7</sup> 0.014 67,17
57/5 V<sup>7</sup>/V 0.013 67,57/5
56 V<sup>6</sup> 0.013 67,56
16 I<sup>6</sup> 0.012 67,16
57 V<sup>7</sup> 0.011 67,57
365 iii<sup>6</sup><sub>5</sub> 0.01 67,365
5/5 V/V 0.01 67,5/5
b57 v<sup>7</sup> 0.009 67,b57
665 vi<sup>6</sup><sub>5</sub> 0.008 67,665
46 IV<sup>6</sup> 0.008 67,46
142 I<sup>4</sup><sub>2</sub> 0.007 67,142
36 iii<sup>6</sup> 0.007 67,36
M57 v<sup>7</sup> 0.006 67,M57
L27 II<sup>7</sup> 0.006 67,L27
265 ii<sup>6</sup><sub>5</sub> 0.006 67,265
143 I<sup>4</sup><sub>3</sub> 0.005 67,143
57/6 V<sup>7</sup>/vi 0.005 67,57/6
26 ii<sup>6</sup> 0.005 67,26
4 IV 0.335 16,4
1 I 0.11 16,1
2 ii 0.068 16,2
5 V 0.065 16,5
27 ii<sup>7</sup> 0.064 16,27
47 IV<sup>7</sup> 0.038 16,47
6 vi 0.03 16,6
564 V<sup>6</sup><sub>4</sub> 0.029 16,564
164 I<sup>6</sup><sub>4</sub> 0.029 16,164
26 ii<sup>6</sup> 0.022 16,26
265 ii<sup>6</sup><sub>5</sub> 0.015 16,265
3 iii 0.011 16,3
5/5 V/V 0.01 16,5/5
67 vi<sup>7</sup> 0.01 16,67
56 V<sup>6</sup> 0.007 16,56
b4 iv 0.006 16,b4
57/5 V<sup>7</sup>/V 0.006 16,57/5
b7 &#9837;VII 0.006 16,b7
37 iii<sup>7</sup> 0.005 16,37
b16 i<sup>6</sup> 0.005 16,b16
543 V<sup>4</sup><sub>3</sub> 0.005 16,543
66 vi<sup>6</sup> 0.005 16,66
6 vi 0.275 56,6
1 I 0.271 56,1
5 V 0.064 56,5
4 IV 0.063 56,4
46 IV<sup>6</sup> 0.045 56,46
67 vi<sup>7</sup> 0.039 56,67
2 ii 0.034 56,2
66 vi<sup>6</sup> 0.024 56,66
564 V<sup>6</sup><sub>4</sub> 0.02 56,564
b7 &#9837;VII 0.015 56,b7
